MFile 0 1 480
MTrk
0 Meta TrkName "drums"
0 Meta InstrName "midi"
75240 On ch=1 n=26 v=100
75240 Off ch=1 n=26 v=64
75240 Off ch=1 n=26 v=64
75358 Off ch=1 n=32 v=64
75360 On ch=1 n=25 v=100
75360 On ch=1 n=26 v=100
75360 Off ch=1 n=25 v=64
75360 Off ch=1 n=26 v=64
75362 On ch=1 n=32 v=83
75480 On ch=1 n=26 v=100
75480 Off ch=1 n=26 v=64
75600 On ch=1 n=26 v=100
75600 Off ch=1 n=26 v=64
75720 On ch=1 n=26 v=100
75720 Off ch=1 n=26 v=64
75840 On ch=1 n=25 v=100
75840 On ch=1 n=26 v=100
75840 Off ch=1 n=25 v=64
75840 Off ch=1 n=26 v=64
75960 On ch=1 n=26 v=100
75960 Off ch=1 n=26 v=64
76080 On ch=1 n=26 v=100
76080 On ch=1 n=26 v=100
76080 Off ch=1 n=26 v=64
76135 On ch=1 n=26 v=100
76140 On ch=1 n=28 v=100
76174 Off ch=1 n=28 v=64
76200 On ch=1 n=28 v=100
76200 Off ch=1 n=26 v=64
76200 Off ch=1 n=26 v=64
76234 Off ch=1 n=28 v=64
76255 Off ch=1 n=26 v=64
76260 On ch=1 n=26 v=100
76260 On ch=1 n=28 v=100
76294 Off ch=1 n=28 v=64
76320 On ch=1 n=25 v=100
76320 On ch=1 n=26 v=100
76320 On ch=1 n=26 v=100
76320 On ch=1 n=28 v=100
76320 On ch=1 n=28 v=100
76320 Off ch=1 n=25 v=64
76354 Off ch=1 n=28 v=64
76380 Off ch=1 n=26 v=64
76440 On ch=1 n=26 v=100
76440 On ch=1 n=28 v=100
76440 Off ch=1 n=26 v=64
76440 Off ch=1 n=26 v=64
76474 Off ch=1 n=28 v=64
76560 On ch=1 n=26 v=100
76560 On ch=1 n=26 v=100
76560 On ch=1 n=28 v=100
76560 Off ch=1 n=26 v=64
76620 Off ch=1 n=28 v=64
76680 On ch=1 n=26 v=100
76680 On ch=1 n=28 v=100
76680 Off ch=1 n=26 v=64
76680 Off ch=1 n=26 v=64
76740 Off ch=1 n=28 v=64
76800 On ch=1 n=24 v=100
76800 On ch=1 n=25 v=100
76800 Off ch=1 n=25 v=64
76800 Off ch=1 n=26 v=64
76800 Off ch=1 n=28 v=64
76800 Off ch=1 n=32 v=64
77265 On ch=1 n=25 v=0
77280 On ch=1 n=28 v=100
77411 Off ch=1 n=28 v=0
77516 Off ch=1 n=24 v=0
77520 On ch=1 n=24 v=100
77520 On ch=1 n=25 v=100
77868 On ch=1 n=25 v=0
78000 On ch=1 n=28 v=100
78131 Off ch=1 n=28 v=64
78236 Off ch=1 n=24 v=64
78240 On ch=1 n=24 v=100
78240 On ch=1 n=25 v=100
79040 On ch=1 n=27 v=100
79354 Off ch=1 n=27 v=64
79360 On ch=1 n=27 v=100
79380 On ch=1 n=25 v=0
79496 Off ch=1 n=24 v=64
79674 Off ch=1 n=27 v=64
79680 On ch=1 n=27 v=100
79994 Off ch=1 n=27 v=64
80000 On ch=1 n=27 v=100
80314 Off ch=1 n=27 v=64
80320 On ch=1 n=27 v=100
80634 Off ch=1 n=27 v=64
80640 On ch=1 n=25 v=100
80640 On ch=1 n=25 v=100
80640 On ch=1 n=30 v=107
80652 On ch=1 n=25 v=0
80932 On ch=1 n=25 v=0
81120 On ch=1 n=28 v=100
81251 Off ch=1 n=28 v=64
81360 On ch=1 n=25 v=100
81360 On ch=1 n=30 v=0
81360 On ch=1 n=30 v=123
81495 On ch=1 n=25 v=0
81600 On ch=1 n=26 v=100
81600 On ch=1 n=28 v=100
81720 Off ch=1 n=26 v=64
81731 Off ch=1 n=28 v=64
81840 On ch=1 n=28 v=100
81971 Off ch=1 n=28 v=64
82050 On ch=1 n=30 v=0
82080 On ch=1 n=25 v=100
82080 On ch=1 n=26 v=100
82080 On ch=1 n=28 v=100
82080 On ch=1 n=30 v=110
82200 Off ch=1 n=26 v=64
82211 Off ch=1 n=28 v=64
82320 On ch=1 n=26 v=100
82417 On ch=1 n=25 v=0
82440 On ch=1 n=28 v=91
82440 Off ch=1 n=26 v=64
82560 On ch=1 n=26 v=100
82571 Off ch=1 n=28 v=64
82680 On ch=1 n=26 v=100
82680 Off ch=1 n=26 v=64
82800 On ch=1 n=26 v=100
82800 Off ch=1 n=26 v=64
82920 On ch=1 n=26 v=100
82920 Off ch=1 n=26 v=64
83040 Off ch=1 n=26 v=64
83520 On ch=1 n=26 v=100
83575 On ch=1 n=30 v=0
83640 On ch=1 n=26 v=0
83760 On ch=1 n=26 v=100
83880 Off ch=1 n=26 v=64
84000 On ch=1 n=26 v=100
84120 Off ch=1 n=26 v=64
84240 On ch=1 n=26 v=100
84360 Off ch=1 n=26 v=64
84480 On ch=1 n=24 v=100
84480 On ch=1 n=25 v=100
84891 On ch=1 n=25 v=0
84960 On ch=1 n=28 v=100
85091 Off ch=1 n=28 v=0
85196 Off ch=1 n=24 v=0
85200 On ch=1 n=24 v=100
85200 On ch=1 n=25 v=100
85326 On ch=1 n=25 v=0
85680 On ch=1 n=28 v=100
85811 Off ch=1 n=28 v=64
85916 Off ch=1 n=24 v=64
85920 On ch=1 n=24 v=100
85920 On ch=1 n=25 v=100
86720 On ch=1 n=27 v=100
87034 Off ch=1 n=27 v=64
87040 On ch=1 n=27 v=100
87176 Off ch=1 n=24 v=64
87180 On ch=1 n=24 v=100
87320 On ch=1 n=25 v=0
87354 Off ch=1 n=27 v=64
87360 On ch=1 n=25 v=100
87580 On ch=1 n=25 v=0
87600 On ch=1 n=25 v=100
87720 Off ch=1 n=24 v=0
87820 Off ch=1 n=25 v=64
87840 On ch=1 n=25 v=100
88060 Off ch=1 n=25 v=64
88080 On ch=1 n=25 v=100
88300 Off ch=1 n=25 v=64
88320 On ch=1 n=25 v=100
88320 On ch=1 n=26 v=100
88320 On ch=1 n=31 v=83
88320 On ch=1 n=32 v=83
88326 On ch=1 n=32 v=83
88329 On ch=1 n=31 v=83
88332 On ch=1 n=32 v=83
88339 Off ch=1 n=32 v=64
88340 On ch=1 n=31 v=83
88343 On ch=1 n=32 v=83
88349 On ch=1 n=32 v=83
88351 On ch=1 n=32 v=83
88354 On ch=1 n=31 v=83
88355 On ch=1 n=32 v=83
88357 On ch=1 n=32 v=83
88362 On ch=1 n=32 v=83
88373 On ch=1 n=31 v=83
88398 On ch=1 n=31 v=83
88420 On ch=1 n=31 v=83
88433 On ch=1 n=31 v=83
88440 On ch=1 n=26 v=0
88458 On ch=1 n=30 v=83
88458 On ch=1 n=31 v=83
88740 Off ch=1 n=31 v=0
88740 Off ch=1 n=32 v=0
88746 Off ch=1 n=32 v=64
88749 Off ch=1 n=31 v=64
88761 Off ch=1 n=31 v=64
88763 Off ch=1 n=32 v=64
88769 Off ch=1 n=32 v=64
88771 Off ch=1 n=32 v=64
88774 Off ch=1 n=31 v=64
88775 Off ch=1 n=32 v=64
88777 Off ch=1 n=32 v=64
88785 Off ch=1 n=25 v=64
88792 Off ch=1 n=31 v=64
88798 Off ch=1 n=32 v=64
88800 On ch=1 n=28 v=100
88802 On ch=1 n=32 v=83
88818 Off ch=1 n=31 v=64
88840 Off ch=1 n=31 v=64
88853 Off ch=1 n=31 v=64
88878 Off ch=1 n=30 v=64
88878 Off ch=1 n=31 v=64
88931 Off ch=1 n=28 v=64
89040 On ch=1 n=25 v=100
89040 On ch=1 n=31 v=83
89060 On ch=1 n=31 v=83
89073 On ch=1 n=31 v=83
89092 On ch=1 n=31 v=83
89104 On ch=1 n=31 v=83
89127 On ch=1 n=31 v=83
89151 On ch=1 n=31 v=83
89175 On ch=1 n=31 v=83
89198 On ch=1 n=30 v=83
89198 On ch=1 n=31 v=83
89278 Off ch=1 n=32 v=64
89280 On ch=1 n=26 v=100
89280 On ch=1 n=28 v=100
89282 On ch=1 n=32 v=83
89388 Off ch=1 n=25 v=64
89400 Off ch=1 n=26 v=64
89411 Off ch=1 n=28 v=64
89460 Off ch=1 n=31 v=64
89480 Off ch=1 n=31 v=64
89493 Off ch=1 n=31 v=64
89512 Off ch=1 n=31 v=64
89520 On ch=1 n=28 v=100
89524 Off ch=1 n=31 v=64
89547 Off ch=1 n=31 v=64
89571 Off ch=1 n=31 v=64
89595 Off ch=1 n=31 v=64
89618 Off ch=1 n=30 v=64
89618 Off ch=1 n=31 v=64
89651 Off ch=1 n=28 v=64
89758 Off ch=1 n=32 v=64
89760 On ch=1 n=26 v=100
89760 On ch=1 n=28 v=100
89762 On ch=1 n=32 v=83
89771 On ch=1 n=31 v=83
89794 On ch=1 n=31 v=83
89805 On ch=1 n=31 v=83
89818 On ch=1 n=31 v=83
89837 On ch=1 n=31 v=83
89853 On ch=1 n=31 v=83
89864 On ch=1 n=31 v=83
89870 On ch=1 n=31 v=83
89880 Off ch=1 n=26 v=64
89891 Off ch=1 n=28 v=64
89892 On ch=1 n=30 v=83
89892 On ch=1 n=31 v=83
90000 On ch=1 n=26 v=100
90120 On ch=1 n=28 v=91
90120 Off ch=1 n=26 v=64
90191 Off ch=1 n=31 v=64
90214 Off ch=1 n=31 v=64
90225 Off ch=1 n=31 v=64
90238 Off ch=1 n=31 v=64
90238 Off ch=1 n=32 v=64
90240 On ch=1 n=25 v=100
90240 On ch=1 n=26 v=100
90242 On ch=1 n=32 v=83
90251 Off ch=1 n=28 v=64
90257 Off ch=1 n=31 v=64
90273 Off ch=1 n=31 v=64
90284 Off ch=1 n=31 v=64
90290 Off ch=1 n=31 v=64
90312 Off ch=1 n=30 v=64
90312 Off ch=1 n=31 v=64
90360 On ch=1 n=26 v=100
90360 Off ch=1 n=26 v=64
90480 On ch=1 n=26 v=100
90480 On ch=1 n=26 v=100
90480 Off ch=1 n=26 v=64
90600 On ch=1 n=26 v=100
90600 Off ch=1 n=26 v=64
90600 Off ch=1 n=26 v=64
90718 Off ch=1 n=32 v=64
90720 On ch=1 n=25 v=100
90720 On ch=1 n=26 v=100
90720 Off ch=1 n=25 v=64
90720 Off ch=1 n=26 v=64
90722 On ch=1 n=32 v=83
90840 On ch=1 n=26 v=100
90840 Off ch=1 n=26 v=64
90960 On ch=1 n=26 v=100
90960 Off ch=1 n=26 v=64
91080 On ch=1 n=26 v=100
91080 Off ch=1 n=26 v=64
91200 On ch=1 n=25 v=100
91200 On ch=1 n=26 v=100
91200 Off ch=1 n=25 v=64
91200 Off ch=1 n=26 v=64
91320 On ch=1 n=26 v=100
91320 Off ch=1 n=26 v=64
91440 On ch=1 n=26 v=100
91440 On ch=1 n=26 v=100
91440 Off ch=1 n=26 v=64
91495 On ch=1 n=26 v=100
91500 On ch=1 n=28 v=100
91534 Off ch=1 n=28 v=64
91560 On ch=1 n=28 v=100
91560 Off ch=1 n=26 v=64
91560 Off ch=1 n=26 v=64
91594 Off ch=1 n=28 v=64
91615 Off ch=1 n=26 v=64
91620 On ch=1 n=26 v=100
91620 On ch=1 n=28 v=100
91654 Off ch=1 n=28 v=64
91680 On ch=1 n=25 v=100
91680 On ch=1 n=26 v=100
91680 On ch=1 n=26 v=100
91680 On ch=1 n=28 v=100
91680 On ch=1 n=28 v=100
91680 Off ch=1 n=25 v=64
91714 Off ch=1 n=28 v=64
91740 Off ch=1 n=26 v=64
91800 On ch=1 n=26 v=100
91800 On ch=1 n=28 v=100
91800 Off ch=1 n=26 v=64
91800 Off ch=1 n=26 v=64
91834 Off ch=1 n=28 v=64
91920 On ch=1 n=26 v=100
91920 On ch=1 n=26 v=100
91920 On ch=1 n=28 v=100
91920 Off ch=1 n=26 v=64
91980 Off ch=1 n=28 v=64
92040 On ch=1 n=26 v=100
92040 On ch=1 n=28 v=100
92040 Off ch=1 n=26 v=64
92040 Off ch=1 n=26 v=64
92100 Off ch=1 n=28 v=64
92160 On ch=1 n=25 v=100
92160 On ch=1 n=30 v=99
92160 Off ch=1 n=25 v=64
92160 Off ch=1 n=26 v=64
92160 Off ch=1 n=28 v=64
92160 Off ch=1 n=32 v=64
92625 On ch=1 n=25 v=0
92640 On ch=1 n=28 v=100
92771 Off ch=1 n=28 v=0
92880 On ch=1 n=25 v=100
92880 On ch=1 n=30 v=0
92880 On ch=1 n=30 v=99
93118 On ch=1 n=29 v=120
93228 On ch=1 n=25 v=0
93360 On ch=1 n=28 v=100
93491 Off ch=1 n=28 v=64
93600 On ch=1 n=25 v=100
93600 On ch=1 n=30 v=90
93600 Off ch=1 n=30 v=64
93726 On ch=1 n=29 v=0
94740 On ch=1 n=25 v=0
95040 On ch=1 n=30 v=0
95999 On ch=1 n=29 v=99
96000 On ch=1 n=25 v=100
96000 On ch=1 n=25 v=100
96000 On ch=1 n=30 v=107
96012 On ch=1 n=25 v=0
96292 On ch=1 n=25 v=0
96444 Off ch=1 n=29 v=64
96480 On ch=1 n=28 v=100
96611 Off ch=1 n=28 v=64
96720 On ch=1 n=25 v=100
96720 On ch=1 n=30 v=0
96720 On ch=1 n=30 v=123
96855 On ch=1 n=25 v=0
96959 On ch=1 n=29 v=99
96960 On ch=1 n=26 v=100
96960 On ch=1 n=28 v=100
97080 Off ch=1 n=26 v=64
97091 Off ch=1 n=28 v=64
97200 On ch=1 n=28 v=100
97331 Off ch=1 n=28 v=64
97404 On ch=1 n=29 v=0
97410 On ch=1 n=30 v=0
97439 On ch=1 n=29 v=113
97439 On ch=1 n=26 v=100
97439 On ch=1 n=28 v=100
97439 On ch=1 n=30 v=110
97560 Off ch=1 n=26 v=64
97571 Off ch=1 n=28 v=64
97680 On ch=1 n=26 v=100
97800 On ch=1 n=28 v=91
97800 Off ch=1 n=26 v=64
97920 On ch=1 n=26 v=100
97931 Off ch=1 n=28 v=64
97933 On ch=1 n=29 v=0
98040 On ch=1 n=26 v=100
98040 Off ch=1 n=26 v=64
98160 On ch=1 n=26 v=100
98160 Off ch=1 n=26 v=64
98280 On ch=1 n=26 v=100
98280 Off ch=1 n=26 v=64
98400 Off ch=1 n=26 v=64
98880 On ch=1 n=26 v=100
98935 On ch=1 n=30 v=0
99000 On ch=1 n=26 v=0
99120 On ch=1 n=26 v=100
99240 Off ch=1 n=26 v=64
99360 On ch=1 n=26 v=100
99480 Off ch=1 n=26 v=64
99600 On ch=1 n=26 v=100
99720 Off ch=1 n=26 v=64
99840 On ch=1 n=25 v=100
99840 On ch=1 n=30 v=110
100251 On ch=1 n=25 v=0
100320 On ch=1 n=28 v=100
100451 Off ch=1 n=28 v=0
100560 On ch=1 n=25 v=100
100560 On ch=1 n=30 v=0
100560 On ch=1 n=30 v=127
100686 On ch=1 n=25 v=0
101040 On ch=1 n=25 v=100
101040 On ch=1 n=28 v=100
101053 On ch=1 n=25 v=0
101171 Off ch=1 n=28 v=64
101198 On ch=1 n=30 v=0
101280 On ch=1 n=25 v=100
101280 On ch=1 n=30 v=96
102680 On ch=1 n=25 v=0
102720 On ch=1 n=25 v=100
102720 On ch=1 n=30 v=0
102940 On ch=1 n=25 v=0
102960 On ch=1 n=25 v=100
103180 Off ch=1 n=25 v=64
103200 On ch=1 n=25 v=100
103420 Off ch=1 n=25 v=64
103440 On ch=1 n=25 v=100
103660 Off ch=1 n=25 v=64
103674 On ch=1 n=29 v=126
103680 On ch=1 n=25 v=100
103680 On ch=1 n=26 v=100
103680 On ch=1 n=30 v=101
103762 On ch=1 n=25 v=0
103800 On ch=1 n=26 v=0
104103 On ch=1 n=29 v=0
104156 On ch=1 n=29 v=95
104160 On ch=1 n=28 v=100
104291 Off ch=1 n=28 v=64
104400 On ch=1 n=25 v=100
104400 On ch=1 n=30 v=0
104400 On ch=1 n=30 v=124
104574 On ch=1 n=29 v=0
104640 On ch=1 n=26 v=100
104640 On ch=1 n=28 v=100
104748 Off ch=1 n=25 v=64
104760 Off ch=1 n=26 v=64
104771 Off ch=1 n=28 v=64
104880 On ch=1 n=28 v=100
105011 Off ch=1 n=28 v=64
105102 On ch=1 n=30 v=0
105120 On ch=1 n=25 v=100
105120 On ch=1 n=26 v=100
105120 On ch=1 n=28 v=100
105120 On ch=1 n=30 v=78
105240 Off ch=1 n=26 v=64
105251 Off ch=1 n=28 v=64
105360 On ch=1 n=26 v=100
105480 On ch=1 n=28 v=91
105480 Off ch=1 n=26 v=64
105600 On ch=1 n=25 v=100
105600 On ch=1 n=26 v=100
105600 Off ch=1 n=25 v=64
105611 Off ch=1 n=28 v=64
105720 On ch=1 n=26 v=100
105720 Off ch=1 n=26 v=64
105840 On ch=1 n=26 v=100
105840 On ch=1 n=26 v=100
105840 Off ch=1 n=26 v=64
105960 On ch=1 n=26 v=100
105960 Off ch=1 n=26 v=64
105960 Off ch=1 n=26 v=64
106080 On ch=1 n=25 v=100
106080 On ch=1 n=26 v=100
106080 Off ch=1 n=25 v=64
106080 Off ch=1 n=26 v=64
106200 On ch=1 n=26 v=100
106200 Off ch=1 n=26 v=64
106320 On ch=1 n=26 v=100
106320 Off ch=1 n=26 v=64
106440 On ch=1 n=26 v=100
106440 Off ch=1 n=26 v=64
106560 On ch=1 n=25 v=100
106560 On ch=1 n=26 v=100
106560 On ch=1 n=30 v=0
106560 Off ch=1 n=25 v=64
106560 Off ch=1 n=26 v=64
106680 On ch=1 n=26 v=100
106680 Off ch=1 n=26 v=64
106800 On ch=1 n=26 v=100
106800 On ch=1 n=26 v=100
106800 Off ch=1 n=26 v=64
106855 On ch=1 n=26 v=100
106920 Off ch=1 n=26 v=64
106920 Off ch=1 n=26 v=64
106975 Off ch=1 n=26 v=64
106980 On ch=1 n=26 v=100
107040 On ch=1 n=26 v=100
107040 On ch=1 n=26 v=100
107040 On ch=1 n=32 v=86
107100 Off ch=1 n=26 v=64
107160 On ch=1 n=26 v=100
107160 Off ch=1 n=26 v=64
107160 Off ch=1 n=26 v=64
107280 On ch=1 n=26 v=100
107280 On ch=1 n=26 v=100
107280 Off ch=1 n=26 v=64
107400 On ch=1 n=26 v=100
107400 Off ch=1 n=26 v=64
107400 Off ch=1 n=26 v=64
107516 Off ch=1 n=32 v=0
107520 On ch=1 n=30 v=99
107520 On ch=1 n=32 v=86
107520 Off ch=1 n=26 v=64
108240 On ch=1 n=30 v=0
108240 On ch=1 n=30 v=99
108960 On ch=1 n=30 v=90
108960 Off ch=1 n=30 v=64
110400 On ch=1 n=30 v=0
110876 Off ch=1 n=32 v=64
110880 On ch=1 n=32 v=86
111356 Off ch=1 n=32 v=0
111360 On ch=1 n=30 v=107
111360 On ch=1 n=32 v=86
112080 On ch=1 n=30 v=0
112080 On ch=1 n=30 v=123
112080 Off ch=1 n=25 v=64
112770 On ch=1 n=30 v=0
112796 Off ch=1 n=32 v=64
112800 On ch=1 n=30 v=110
112800 On ch=1 n=32 v=86
114295 On ch=1 n=30 v=0
114716 Off ch=1 n=32 v=64
114720 On ch=1 n=32 v=86
115196 Off ch=1 n=32 v=64
115200 On ch=1 n=30 v=110
115200 On ch=1 n=32 v=86
115920 On ch=1 n=30 v=0
115920 On ch=1 n=30 v=127
116558 On ch=1 n=30 v=0
116640 On ch=1 n=30 v=96
118080 On ch=1 n=30 v=0
118556 Off ch=1 n=32 v=64
118560 On ch=1 n=32 v=86
119036 Off ch=1 n=32 v=64
119040 On ch=1 n=30 v=101
119040 On ch=1 n=32 v=86
119760 On ch=1 n=30 v=0
119760 On ch=1 n=30 v=124
120462 On ch=1 n=30 v=0
120476 Off ch=1 n=32 v=64
120480 On ch=1 n=30 v=78
120480 On ch=1 n=32 v=86
121920 On ch=1 n=30 v=0
122396 Off ch=1 n=32 v=64
122400 On ch=1 n=32 v=86
122876 Off ch=1 n=32 v=0
122880 On ch=1 n=32 v=86
122880 On ch=1 n=36 v=60
123595 On ch=1 n=36 v=0
123599 On ch=1 n=36 v=98
124075 On ch=1 n=36 v=0
124079 On ch=1 n=36 v=99
124320 On ch=1 n=36 v=0
124324 On ch=1 n=36 v=94
125041 On ch=1 n=36 v=0
125045 On ch=1 n=36 v=90
125516 On ch=1 n=36 v=0
125520 On ch=1 n=36 v=95
126235 On ch=1 n=36 v=0
126239 On ch=1 n=36 v=92
126713 On ch=1 n=36 v=0
126717 On ch=1 n=36 v=99
126960 Off ch=1 n=32 v=64
127437 On ch=1 n=36 v=0
127441 On ch=1 n=36 v=90
127913 On ch=1 n=36 v=0
127917 On ch=1 n=36 v=83
128161 On ch=1 n=36 v=0
128165 On ch=1 n=36 v=82
128866 On ch=1 n=36 v=0
128870 On ch=1 n=36 v=91
129350 On ch=1 n=36 v=0
129354 On ch=1 n=36 v=90
129586 On ch=1 n=36 v=0
129590 On ch=1 n=36 v=87
130316 On ch=1 n=36 v=0
130320 On ch=1 n=36 v=91
130556 On ch=1 n=36 v=0
130560 On ch=1 n=36 v=71
131275 On ch=1 n=36 v=0
131279 On ch=1 n=36 v=81
131755 On ch=1 n=36 v=0
131759 On ch=1 n=36 v=93
132000 On ch=1 n=36 v=0
132004 On ch=1 n=36 v=81
132721 On ch=1 n=36 v=0
132725 On ch=1 n=36 v=92
133196 On ch=1 n=36 v=0
133200 On ch=1 n=36 v=88
133915 On ch=1 n=36 v=0
133919 On ch=1 n=36 v=93
134393 On ch=1 n=36 v=0
134397 On ch=1 n=36 v=98
135117 On ch=1 n=36 v=0
135121 On ch=1 n=36 v=95
135593 On ch=1 n=36 v=0
135597 On ch=1 n=36 v=90
135841 On ch=1 n=36 v=0
135845 On ch=1 n=36 v=92
137266 On ch=1 n=36 v=0
137270 On ch=1 n=36 v=83
138238 On ch=1 n=36 v=0
138242 On ch=1 n=36 v=96
138955 On ch=1 n=36 v=0
138959 On ch=1 n=36 v=98
139435 On ch=1 n=36 v=0
139439 On ch=1 n=36 v=99
139680 On ch=1 n=36 v=0
139684 On ch=1 n=36 v=94
139918 On ch=1 n=29 v=120
140160 On ch=1 n=29 v=0
140401 On ch=1 n=36 v=0
140405 On ch=1 n=36 v=90
140876 On ch=1 n=36 v=0
140880 On ch=1 n=36 v=95
141595 On ch=1 n=36 v=0
141599 On ch=1 n=36 v=92
142073 On ch=1 n=36 v=0
142077 On ch=1 n=36 v=99
142797 On ch=1 n=36 v=0
142801 On ch=1 n=36 v=90
143039 On ch=1 n=29 v=99
143273 On ch=1 n=36 v=0
143277 On ch=1 n=36 v=83
143484 On ch=1 n=29 v=0
143520 On ch=1 n=36 v=0
143524 On ch=1 n=36 v=82
144226 On ch=1 n=36 v=0
144230 On ch=1 n=36 v=91
144710 On ch=1 n=36 v=0
144714 On ch=1 n=36 v=90
144946 On ch=1 n=36 v=0
144950 On ch=1 n=36 v=87
145676 On ch=1 n=36 v=0
145680 On ch=1 n=36 v=91
145916 On ch=1 n=36 v=0
145920 On ch=1 n=36 v=71
146635 On ch=1 n=36 v=0
146639 On ch=1 n=36 v=81
147115 On ch=1 n=36 v=0
147119 On ch=1 n=36 v=93
147360 On ch=1 n=36 v=0
147364 On ch=1 n=36 v=81
148081 On ch=1 n=36 v=0
148085 On ch=1 n=36 v=92
148556 On ch=1 n=36 v=0
148560 On ch=1 n=36 v=88
149275 On ch=1 n=36 v=0
149279 On ch=1 n=36 v=93
149753 On ch=1 n=36 v=0
149757 On ch=1 n=36 v=98
150236 On ch=1 n=29 v=95
150477 On ch=1 n=36 v=0
150481 On ch=1 n=36 v=95
150654 On ch=1 n=29 v=0
150953 On ch=1 n=36 v=0
150957 On ch=1 n=36 v=90
151201 On ch=1 n=36 v=0
151205 On ch=1 n=36 v=92
152626 On ch=1 n=36 v=0
152630 On ch=1 n=36 v=83
152640 On ch=1 n=24 v=99
152975 Off ch=1 n=24 v=0
152979 On ch=1 n=24 v=100
153586 On ch=1 n=36 v=0
153590 On ch=1 n=36 v=83
153596 Off ch=1 n=24 v=64
153600 On ch=1 n=24 v=100
156296 Off ch=1 n=24 v=0
156300 On ch=1 n=24 v=100
156815 Off ch=1 n=24 v=0
156819 On ch=1 n=24 v=100
157322 Off ch=1 n=36 v=64
157436 Off ch=1 n=24 v=64
157440 On ch=1 n=24 v=100
160136 Off ch=1 n=24 v=0
160140 On ch=1 n=24 v=100
160655 Off ch=1 n=24 v=0
160659 On ch=1 n=24 v=100
161276 Off ch=1 n=24 v=64
161280 On ch=1 n=24 v=100
161280 On ch=1 n=25 v=100
161760 Off ch=1 n=25 v=64
162240 On ch=1 n=25 v=100
162720 Off ch=1 n=25 v=64
163200 On ch=1 n=25 v=100
163680 On ch=1 n=25 v=100
163680 Off ch=1 n=25 v=64
163976 Off ch=1 n=24 v=0
163980 On ch=1 n=24 v=100
164160 On ch=1 n=25 v=100
164160 Off ch=1 n=25 v=64
164495 Off ch=1 n=24 v=0
164499 On ch=1 n=24 v=100
164640 On ch=1 n=25 v=100
164640 Off ch=1 n=25 v=64
165116 Off ch=1 n=24 v=64
165120 On ch=1 n=24 v=100
165120 On ch=1 n=25 v=100
165120 Off ch=1 n=25 v=64
165360 On ch=1 n=25 v=100
165360 Off ch=1 n=25 v=64
165600 On ch=1 n=25 v=100
165600 Off ch=1 n=25 v=64
165840 On ch=1 n=25 v=100
165840 Off ch=1 n=25 v=64
166080 On ch=1 n=25 v=100
166080 Off ch=1 n=25 v=64
166320 On ch=1 n=25 v=100
166320 Off ch=1 n=25 v=64
166560 On ch=1 n=25 v=100
166560 Off ch=1 n=25 v=64
166800 On ch=1 n=25 v=100
166800 Off ch=1 n=25 v=64
166916 Off ch=1 n=24 v=0
166920 On ch=1 n=24 v=100
167040 On ch=1 n=25 v=100
167040 On ch=1 n=25 v=100
167040 Off ch=1 n=25 v=64
167280 Off ch=1 n=25 v=64
167400 Off ch=1 n=24 v=64
168960 On ch=1 n=24 v=100
168960 On ch=1 n=25 v=100
169202 Off ch=1 n=25 v=0
169440 Off ch=1 n=24 v=0
169440 On ch=1 n=25 v=100
169440 On ch=1 n=28 v=100
169440 On ch=1 n=57 v=83
169682 Off ch=1 n=25 v=64
169920 On ch=1 n=24 v=100
169920 On ch=1 n=25 v=100
169920 Off ch=1 n=28 v=0
169920 Off ch=1 n=57 v=64
170162 Off ch=1 n=25 v=64
170400 Off ch=1 n=24 v=64
170400 On ch=1 n=25 v=100
170400 On ch=1 n=28 v=100
170400 On ch=1 n=57 v=83
170642 Off ch=1 n=25 v=64
170880 On ch=1 n=24 v=100
170880 On ch=1 n=25 v=100
170880 Off ch=1 n=28 v=64
170880 Off ch=1 n=57 v=64
171122 Off ch=1 n=25 v=0
171360 Off ch=1 n=24 v=64
171360 On ch=1 n=25 v=100
171360 On ch=1 n=28 v=100
171360 On ch=1 n=57 v=83
171602 Off ch=1 n=25 v=64
171840 On ch=1 n=24 v=100
171840 On ch=1 n=25 v=100
171840 Off ch=1 n=28 v=64
171840 Off ch=1 n=57 v=64
172082 Off ch=1 n=25 v=64
172320 Off ch=1 n=24 v=64
172320 On ch=1 n=25 v=100
172320 On ch=1 n=28 v=100
172320 On ch=1 n=57 v=83
172320 Off ch=1 n=25 v=64
172562 Off ch=1 n=25 v=64
172800 On ch=1 n=25 v=100
172800 On ch=1 n=34 v=100
172800 Off ch=1 n=28 v=64
172800 Off ch=1 n=57 v=64
173042 Off ch=1 n=25 v=0
173160 On ch=1 n=34 v=100
173160 Off ch=1 n=34 v=0
173280 On ch=1 n=25 v=100
173280 On ch=1 n=28 v=100
173520 On ch=1 n=34 v=100
173520 Off ch=1 n=34 v=64
173522 Off ch=1 n=25 v=64
173760 On ch=1 n=25 v=100
173760 Off ch=1 n=28 v=0
173880 On ch=1 n=34 v=100
173880 Off ch=1 n=34 v=64
174002 Off ch=1 n=25 v=64
174240 On ch=1 n=25 v=100
174240 On ch=1 n=28 v=100
174240 On ch=1 n=34 v=100
174240 Off ch=1 n=34 v=64
174482 Off ch=1 n=25 v=64
174600 On ch=1 n=34 v=100
174600 Off ch=1 n=34 v=64
174720 On ch=1 n=25 v=100
174720 Off ch=1 n=28 v=64
174960 On ch=1 n=25 v=100
174960 On ch=1 n=34 v=100
